,ATTENDANTS,ATTENDANTS.ALCIBIADES,ATTENDANTS.TIMON,Alcibiades,Apemantus,BANDITS.1,BANDITS.2,BANDITS.3,Cupid,FRIENDS,FRIENDS.Lucius,FRIENDS.Lucullus,FRIENDS.Sempronius,FRIENDS.Ventidius,Flavius,Fool,Jeweler,LADIES,LORDS,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,Merchant,OldMan,Painter,Phrynia,Poet,SENATORS,SENATORS.1,SENATORS.2,SENATORS.3,SENATORS.4,SENATORS.X,SERVANTS.Caphis,SERVANTS.Hortensius,SERVANTS.ISIDORE.1,SERVANTS.LUCIUS.1,SERVANTS.LUCULLUS.1,SERVANTS.Page,SERVANTS.Philotus,SERVANTS.TIMON,SERVANTS.TIMON.0,SERVANTS.TIMON.1,SERVANTS.TIMON.2,SERVANTS.TIMON.3,SERVANTS.TIMON.Flaminius,SERVANTS.TIMON.Lucilius,SERVANTS.TIMON.Servilius,SERVANTS.TIMON.X.1,SERVANTS.TIMON.X.2,SERVANTS.Titus,SERVANTS.VARRO.1,SERVANTS.VARRO.2,SOLDIERS,SOLDIERS.1,STRANGERS.1,STRANGERS.2,STRANGERS.3,Timandra,Timon
ATTENDANTS,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
ATTENDANTS.ALCIBIADES,0.0,0.0,0.0,137.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
ATTENDANTS.TIMON,0.0,0.0,0.0,246.0,246.0,0.0,0.0,0.0,36.0,0.0,246.0,0.0,0.0,246.0,213.0,0.0,0.0,27.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0
Alcibiades,28.0,137.0,246.0,0.0,258.0,0.0,0.0,0.0,36.0,0.0,246.0,0.0,0.0,246.0,241.0,0.0,12.0,27.0,246.0,0.0,0.0,0.0,12.0,0.0,12.0,147.0,12.0,369.0,98.0,98.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,12.0,247.0,3.0,5.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,28.0,0.0,100.0,25.0,0.0,0.0,0.0,147.0,433.0
Apemantus,0.0,12.0,246.0,258.0,0.0,2.0,2.0,2.0,36.0,0.0,246.0,0.0,0.0,246.0,216.0,78.0,87.0,27.0,262.0,0.0,4.0,0.0,87.0,0.0,87.0,0.0,87.0,333.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,78.0,0.0,0.0,15.0,0.0,87.0,226.0,3.0,5.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0
BANDITS.1,0.0,0.0,0.0,0.0,2.0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
BANDITS.2,0.0,0.0,0.0,0.0,2.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
BANDITS.3,0.0,0.0,0.0,0.0,2.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
Cupid,0.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0,36.0,0.0,0.0,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
FRIENDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0
FRIENDS.Lucius,0.0,0.0,246.0,246.0,246.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,246.0,213.0,0.0,0.0,27.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,0.0,0.0,40.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,66.0,0.0,246.0
FRIENDS.Lucullus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRIENDS.Sempronius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRIENDS.Ventidius,0.0,0.0,246.0,246.0,246.0,0.0,0.0,0.0,36.0,0.0,246.0,0.0,0.0,0.0,213.0,0.0,0.0,27.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0
Flavius,28.0,0.0,213.0,241.0,216.0,0.0,0.0,0.0,36.0,0.0,213.0,0.0,0.0,213.0,0.0,3.0,0.0,27.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,130.0,130.0,0.0,0.0,0.0,52.0,20.0,52.0,20.0,0.0,0.0,20.0,34.0,258.0,3.0,5.0,7.0,9.0,0.0,9.0,7.0,9.0,20.0,72.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0
Fool,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,78.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Jeweler,0.0,12.0,0.0,12.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,291.0,49.0,291.0,0.0,291.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0
LADIES,0.0,0.0,27.0,27.0,27.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
LORDS,0.0,0.0,246.0,246.0,262.0,0.0,0.0,0.0,36.0,0.0,246.0,0.0,0.0,246.0,213.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0
MESSENGERS.X.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
