,HenryV,BishopOfCanterbury,Fluellen,Exeter,Burgundy,KingOfFrance,Dauphin,Constable,Pistol,Montjoy,SOLDIERS.ENGLISH.Williams,QueenOfFrance,AMBASSADORS.0.1,MistressQuickly,Boy,Orleans,BishopOfEly,Westmoreland,Nym,Grandpre,Cambridge,Katherine,Scroop,MacMorris,Gower,Grey,Bardolph,SOLDIERS.ENGLISH.Bates,Salisbury,Bedford,Jamy,Bourbon,Governor,Brittany,Rambures,Alice,SOLDIERS.FRENCH.LeFer,Gloucester,Erpingham,York,MESSENGERS.X.2,MESSENGERS.X.1,HERALDS.1,MESSENGERS.X.3,Warwick,SOLDIERS.ENGLISH.Court,ATTENDANTS.ENGLISH,SOLDIERS.FRENCH,Clarence,AMBASSADORS,Beaumont,ATTENDANTS.ENGLISH.0,HERALDS,ATTENDANTS.FRENCH,Berri,SOLDIERS.ENGLISH,ATTENDANTS.ENGLISH.Huntington
HenryV,183,1061,1419,5883,589,589,0,0,73,864,1967,589,0,0,0,0,1061,3896,0,0,1273,2316,1273,0,1257,1273,0,1353,460,4611,0,583,78,0,0,2316,0,4653,1076,27,0,0,427,0,2494,1353,2759,696,1106,429,0,429,290,267,0,2130,267
BishopOfCanterbury,1198,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,1892,1198,0,0,0,0,0,0,0,0,0,0,0,1198,0,0,0,0,0,0,0,1198,0,0,0,0,0,0,1198,0,1198,0,1198,0,0,0,0,0,0,0,0
Fluellen,975,0,0,632,0,0,0,0,611,201,515,0,0,0,13,0,0,0,13,0,0,0,0,278,2801,0,13,0,0,0,278,386,0,0,0,0,0,855,0,0,0,0,28,0,678,0,0,386,0,0,0,0,201,0,0,177,0
Exeter,566,122,62,0,73,585,512,512,0,11,51,73,0,0,0,0,122,324,0,0,56,73,56,0,53,56,0,0,21,251,0,20,0,512,0,73,0,210,21,0,0,0,42,0,189,0,943,268,127,6,0,6,11,512,512,21,0
Burgundy,611,0,0,611,0,611,0,0,0,0,0,611,0,0,0,0,0,611,0,0,0,611,0,0,0,0,0,0,0,411,0,0,0,0,0,611,0,0,0,0,0,0,0,0,411,0,411,0,0,0,0,0,0,411,0,0,411
KingOfFrance,205,0,0,278,205,0,627,627,0,0,0,205,0,0,0,0,0,205,0,0,0,205,0,0,0,0,0,0,0,72,0,0,0,627,0,205,0,0,0,0,0,25,0,0,72,0,145,0,0,0,0,0,0,699,364,0,72
Dauphin,0,0,0,61,0,422,0,1051,0,0,0,0,0,0,0,662,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,57,0,422,662,0,0,0,0,0,0,0,0,23,0,0,61,0,0,0,84,0,0,943,335,0,0
Constable,0,0,0,0,0,300,800,0,0,0,0,0,0,0,0,780,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,32,0,300,780,0,0,0,0,0,127,0,0,267,0,0,0,0,0,0,276,0,0,772,91,0,0
Pistol,132,0,319,0,0,0,0,0,95,0,0,0,0,459,506,0,0,0,672,0,0,0,0,0,286,0,672,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montjoy,472,0,363,241,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,363,0,0,0,109,109,0,132,0,0,0,0,0,472,109,0,0,0,0,0,132,0,0,132,0,0,0,0,132,0,0,340,0
SOLDIERS.ENGLISH.Williams,692,0,317,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,404,0,0,0,119,0,0,0,0,0,288,0,0,0,0,0,0,288,404,0,119,0,0,0,0,0,0,0,0,0
QueenOfFrance,220,0,0,220,220,220,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,220,0,0,0,0,0,0,0,123,0,0,0,0,0,220,0,0,0,0,0,0,0,0,123,0,123,0,0,0,0,0,0,123,0,0,123
AMBASSADORS.0.1,154,154,0,154,0,0,0,0,0,0,0,0,0,0,0,0,154,154,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,154,0,0,0,0,0,0,154,0,154,0,154,154,0,154,0,0,0,0,0
MistressQuickly,0,0,0,0,0,0,0,0,441,0,0,0,0,0,316,0,0,0,441,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boy,0,0,0,0,0,0,0,0,436,0,0,0,0,108,297,0,0,0,147,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orleans,0,0,0,0,0,0,134,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,361,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,23,0,0,290,0,0,0
BishopOfEly,124,278,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,124,0,0,0,0,0,0,124,0,124,0,124,0,0,0,0,0,0,0,0
Westmoreland,139,51,0,171,25,25,0,0,0,0,0,25,0,0,0,0,51,0,0,0,0,25,0,0,0,0,0,0,40,146,0,0,0,0,0,25,0,123,62,0,0,0,0,0,61,0,61,0,61,0,0,0,0,0,0,62,0
Nym,0,0,11,0,0,0,0,0,277,0,0,0,0,181,89,0,0,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grandpre,0,0,0,0,0,0,157,157,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,157,0,0,0,0,0,0
