,RichardIII,Buckingham,QueenElizabeth,QueenMargaret,HenryVII,LadyAnne,DuchessOfYork,EdwardIV,Stanley,Hastings,EdwardV,Rivers,Clarence,York,Catesby,Ratcliffe,MURDERERS.1,Brakenbury,Tyrrel,Dorset,MURDERERS.2,MESSENGERS.4,Cardinal,MayorOfLondon,Grey,Norfolk,Blunt,ClarencesBoy,BishopOfEly,MESSENGERS.3,Archbishop,HenryVI,MESSENGERS.X.1,ATTENDANTS.0.1,PrinceEdward,MESSENGERS.X.2,SirChristopher,Vaughan,MESSENGERS.1,ClarencesDaughter,MESSENGERS.2,Scrivener,Lovell,Oxford,Jailer,GENTLEMEN.0.1,Herbert,Surrey,ATTENDANTS.RICHMOND.0.1,MESSENGERS.X.3,Sheriff,Pursuivant,SirJohn,ATTENDANTS.RICHMOND,Scales,ATTENDANTS.0,Woodeville,SOLDIERS.RICHMOND,SOLDIERS.RICHARD,GENTLEMEN,CITIZENS.0,ATTENDANTS,CITIZENS,GUARDS,BISHOPS,Brandon
RichardIII,607,3820,2758,477,619,1082,330,338,2166,2216,361,1468,418,155,3188,3908,88,418,193,1685,88,69,267,1051,1313,1114,0,155,252,130,0,1445,0,310,0,0,0,0,130,155,130,0,1575,217,0,0,217,160,0,53,0,0,0,0,338,6345,338,0,1512,1445,4426,3244,618,1863,618,217
Buckingham,2698,0,407,57,109,0,173,111,533,750,265,407,0,43,1390,745,0,0,0,407,0,0,232,1411,234,110,0,173,101,0,0,0,0,68,0,0,0,0,0,173,0,0,554,0,0,0,0,0,0,0,261,0,0,0,111,3048,111,0,109,0,651,570,932,261,705,0
QueenElizabeth,1538,473,0,235,0,306,895,65,619,373,0,732,0,116,1198,46,0,37,0,1038,0,0,0,0,541,0,0,191,0,0,116,0,81,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1712,65,0,0,0,1712,1184,0,0,0,0
QueenMargaret,1222,1222,2041,0,0,0,819,0,1222,1222,0,1222,0,0,0,0,0,0,0,1222,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,0,0,0,0,886,0,0,0,0,0
HenryVII,176,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,572,0,0,0,0,0,0,726,0,1298,0,684,176,0,1298,0,0,0,0,394
LadyAnne,843,0,375,0,77,0,375,0,301,0,0,0,0,0,0,0,0,34,0,375,0,0,0,0,0,0,0,0,0,0,0,1067,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,77,1067,452,0,0,1067,0,0
DuchessOfYork,359,21,1231,115,0,166,0,0,128,21,0,297,0,263,338,21,0,11,0,463,0,0,0,0,0,0,0,412,0,0,263,0,120,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,0,0,0,671,338,0,0,0,0
EdwardIV,410,644,644,0,0,0,0,0,353,644,0,644,0,0,0,410,0,0,0,644,0,0,0,0,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,0,644,0,0,0,0,0,0,0,0,0
Stanley,423,120,224,0,278,112,112,45,0,246,0,112,0,0,163,300,0,0,0,411,0,0,0,0,112,64,0,0,24,0,0,0,0,0,0,0,117,0,0,112,0,0,90,187,0,0,187,0,0,0,0,0,0,91,45,899,45,91,187,0,698,255,0,0,0,187
Hastings,283,310,67,38,50,0,5,24,375,0,50,67,0,0,403,463,0,0,0,67,0,0,50,50,62,226,0,5,226,0,0,0,0,0,0,157,0,0,0,5,0,0,458,0,0,0,0,0,0,0,0,109,38,0,24,1232,24,0,50,0,50,276,0,0,0,0
EdwardV,474,430,0,0,44,0,0,0,0,169,0,0,0,166,430,0,0,0,0,0,0,0,264,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,44,0,44,430,0,0,0,0
Rivers,207,213,287,61,26,0,119,32,181,213,0,0,0,0,6,238,0,0,0,287,0,0,0,0,362,0,0,119,0,0,0,0,0,0,0,0,0,194,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,194,32,0,26,0,26,0,0,168,0,0
Clarence,271,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,705,190,0,0,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,81,0,0,81,0,81,0,0,190,0,0
York,280,236,174,0,44,0,174,0,0,236,280,0,0,0,236,0,0,0,0,0,0,0,236,236,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,44,0,44,236,0,0,0,0
Catesby,238,180,23,0,26,0,0,0,23,161,0,23,0,0,0,119,0,0,0,49,0,39,0,130,23,84,0,0,0,39,0,0,0,12,0,0,0,0,39,0,39,0,12,26,0,0,26,0,0,0,0,0,0,0,0,510,0,0,87,0,192,93,130,0,34,26
Ratcliffe,225,0,0,0,86,0,0,0,0,25,0,20,0,0,54,0,0,0,0,35,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,25,35,0,0,35,0,0,0,0,0,0,0,0,270,0,0,114,0,225,76,0,20,0,35
MURDERERS.1,57,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,55,42,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brakenbury,64,0,58,0,0,58,58,0,0,0,0,0,213,0,0,0,84,0,0,58,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,58,0,0,64,0,0
Tyrrel,117,0,0,0,0,0,0,0,60,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,334,60,0,0,0,0
Dorset,50,66,147,29,0,20,81,37,49,66,0,127,0,0,0,21,0,0,0,0,0,0,0,0,66,0,0,61,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,20,37,0,0,0,20,0,0,0,0,0
