,ATTENDANTS,ATTENDANTS.YORK,Beadle,Bevis,Bolingbroke,Buckingham,CITIZENS,CITIZENS.LONDON,CITIZENS.STALBANS,CITIZENS.STALBANS.0.1,Cade,CardinalBeaufort,Clerk,Clifford,Dick,DuchessOfGloucester,EdwardIV,FALCONERS,FOLLOWERS.CADE,FOLLOWERS.CADE.0,FOLLOWERS.CADE.0.1,GENTLEMEN.1,GENTLEMEN.2,George,Gloucester,HERALDS.X.1,HERALDS.X.2,HenryVI,Holland,Horner,Hume,Iden,Jourdain,Lieutenant,MESSENGERS.1,MESSENGERS.2,MESSENGERS.Post,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MURDERERS,Master,Mate,MayorOfStAlbans,Michael,NEIGHBORS.1,NEIGHBORS.2,NEIGHBORS.3,OFFICERS,PETITIONERS,PRENTICES.1,PRENTICES.2,PRENTICES.3,QueenMargaret,RichardIII,SERVANTS.GLOUCESTER,SERVANTS.IDEN,SERVANTS.SUFFOLK,SERVANTS.YORK.1,SOLDIERS,SOLDIERS.1,SOLDIERS.YORK,Salisbury,Sawyer,Saye,Scales,Sheriff,Simpcox,SimpcoxWife,Smith,Somerset,Southwell,Spirit,Stafford,Stanley,Suffolk,Thump,Vaux,Warwick,Whitmore,WilliamStafford,York
ATTENDANTS,0.0,164.0,13.0,66.0,18.0,394.0,14.0,0.0,98.0,1030.0,61.0,738.0,0.0,168.0,66.0,18.0,97.0,219.0,66.0,0.0,249.0,0.0,0.0,66.0,394.0,0.0,0.0,1029.0,66.0,48.0,18.0,156.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,66.0,48.0,48.0,48.0,18.0,0.0,48.0,48.0,48.0,1002.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,92.0,98.0,66.0,593.0,18.0,0.0,0.0,0.0,833.0,48.0,0.0,459.0,0.0,0.0,495.0
ATTENDANTS.YORK,164.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,95.0,0.0,0.0,97.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,220.0
Beadle,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Bevis,66.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,428.0,392.0,0.0,25.0,66.0,397.0,0.0,0.0,0.0,397.0,256.0,79.0,0.0,0.0,186.0,0.0,0.0,60.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,9.0,0.0,0.0,156.0,96.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0
Bolingbroke,18.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,73.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,18.0,14.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,34.0
Buckingham,394.0,107.0,0.0,66.0,16.0,0.0,0.0,0.0,0.0,545.0,61.0,497.0,0.0,111.0,66.0,64.0,0.0,43.0,80.0,61.0,218.0,0.0,0.0,66.0,335.0,0.0,0.0,565.0,66.0,0.0,16.0,54.0,16.0,0.0,36.0,12.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,462.0,0.0,61.0,0.0,0.0,0.0,0.0,66.0,460.0,16.0,0.0,14.0,0.0,397.0,0.0,0.0,462.0,0.0,0.0,610.0
CITIZENS,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0
CITIZENS.LONDON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.STALBANS,98.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.STALBANS.0.1,1030.0,220.0,13.0,428.0,18.0,545.0,14.0,13.0,98.0,0.0,478.0,816.0,25.0,267.0,397.0,112.0,131.0,154.0,411.0,330.0,561.0,156.0,150.0,186.0,416.0,4.0,60.0,1109.0,428.0,48.0,18.0,226.0,18.0,150.0,36.0,12.0,6.0,0.0,119.0,28.0,14.0,146.0,146.0,98.0,321.0,48.0,48.0,48.0,105.0,0.0,48.0,48.0,48.0,1278.0,137.0,87.0,70.0,0.0,0.0,60.0,9.0,82.0,601.0,156.0,157.0,13.0,87.0,92.0,98.0,397.0,760.0,18.0,0.0,78.0,94.0,1153.0,48.0,13.0,631.0,148.0,78.0,860.0
Cade,61.0,0.0,0.0,392.0,0.0,61.0,0.0,0.0,0.0,478.0,0.0,0.0,25.0,61.0,392.0,0.0,0.0,0.0,392.0,256.0,160.0,0.0,0.0,181.0,0.0,0.0,60.0,0.0,392.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,60.0,9.0,0.0,0.0,156.0,96.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0
