,ATTENDANTS,ATTENDANTS.0.1,ATTENDANTS.1,ATTENDANTS.2,ATTENDANTS.3,ATTENDANTS.CLOTEN.1,ATTENDANTS.CLOTEN.2,Arviragus,Belarius,Cloten,Cornelius,Cymbeline,Dutchman,Frenchman,GHOSTS.BROTHERS.1,GHOSTS.BROTHERS.2,GHOSTS.Father,GHOSTS.Mother,Guiderius,Iachimo,Imogen,JAILERS.1,JAILERS.2,Jupiter,LADIES.IMOGEN,LADIES.QUEEN,Lucius,MESSENGERS.1,MESSENGERS.2,MUSICIANS,Philario,Pisanio,Posthumus,Queen,SENATORS.1,SENATORS.2,SOLDIERS.BRITON,SOLDIERS.BRITON.0,SOLDIERS.ROMAN,Soothsayer,Spaniard,TRIBUNES
ATTENDANTS,0.0,15.0,0.0,0.0,0.0,36.0,36.0,586.0,586.0,202.0,559.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,506.0,554.0,0.0,0.0,0.0,0.0,559.0,620.0,2.0,0.0,0.0,0.0,629.0,514.0,223.0,0.0,0.0,506.0,586.0,506.0,506.0,0.0,0.0
ATTENDANTS.0.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.1,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.2,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0
ATTENDANTS.CLOTEN.1,36.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,161.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.CLOTEN.2,36.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,161.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arviragus,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,10.0,559.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.0,506.0,747.0,0.0,0.0,0.0,0.0,559.0,506.0,0.0,0.0,0.0,0.0,586.0,506.0,0.0,0.0,0.0,510.0,586.0,510.0,506.0,0.0,0.0
Belarius,586.0,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,0.0,10.0,559.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.0,506.0,718.0,0.0,0.0,0.0,0.0,559.0,506.0,0.0,0.0,0.0,0.0,586.0,506.0,0.0,0.0,0.0,510.0,586.0,510.0,506.0,0.0,0.0
Cloten,202.0,15.0,0.0,0.0,0.0,161.0,161.0,10.0,10.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,82.0,0.0,0.0,0.0,15.0,0.0,114.0,2.0,0.0,20.0,0.0,84.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cornelius,559.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,559.0,0.0,0.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,506.0,506.0,0.0,0.0,0.0,0.0,563.0,506.0,0.0,0.0,0.0,0.0,582.0,506.0,54.0,0.0,0.0,506.0,559.0,506.0,506.0,0.0,0.0
Cymbeline,869.0,15.0,0.0,0.0,0.0,36.0,36.0,590.0,590.0,192.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,506.0,554.0,0.0,0.0,0.0,0.0,559.0,620.0,2.0,0.0,0.0,0.0,629.0,514.0,203.0,0.0,0.0,510.0,586.0,510.0,506.0,0.0,0.0
