,ALDERMEN,ATTENDANTS,Abergavenny,Anne,BISHOPS,BishopOfLincoln,Brandon,Buckingham,Butts,COMMONERS,Campeius,Capuchius,Chamberlain,Chancellor,Cranmer,Crier,Cromwell,Denny,ElizabethI.Infant,Epilogue,GENTLEMEN,GENTLEMEN.1,GENTLEMEN.2,GENTLEMEN.3,GENTLEMEN.X,GUARDS,Gardiner,Garter,Griffith,Guilford,HenryVIII,Katherine,Keeper,LADIES,LADIES.KATHERINE,LADIES.KATHERINE.Patience,LORDS,LordMayor,Lovell,MASKERS,Messenger,NOBLES,Norfolk,OldLady,Page,Porter,Prologue,SECRETARIES,SECRETARIES.X.1,SERVANTS,SERVANTS.PORTER.1,SERVANTS.X.1,Sands,Scribe,Sergeant,Suffolk,Surrey,Surveyor,Usher,Vaux,Wolsey
ALDERMEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,86.0,0.0,0.0,83.0,0.0,0.0,86.0,0.0,0.0,86.0,86.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS,0.0,0.0,0.0,101.0,266.0,266.0,0.0,0.0,0.0,0.0,266.0,0.0,211.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,687.0,387.0,0.0,101.0,0.0,0.0,266.0,0.0,461.0,61.0,0.0,247.0,352.0,0.0,0.0,0.0,0.0,0.0,124.0,101.0,0.0,11.0,101.0,266.0,0.0,352.0,113.0,123.0,148.0,0.0,727.0
Abergavenny,0.0,0.0,0.0,0.0,0.0,0.0,39.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,7.0
Anne,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,61.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,137.0,61.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,11.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
BISHOPS,0.0,266.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,148.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,148.0,0.0,266.0
BishopOfLincoln,0.0,266.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,148.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,148.0,0.0,266.0
Brandon,0.0,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
Buckingham,0.0,0.0,269.0,0.0,0.0,0.0,39.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,86.0,0.0,39.0,0.0,0.0,0.0,0.0,86.0,7.0
Butts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMONERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0
Campeius,0.0,266.0,0.0,0.0,266.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,349.0,325.0,0.0,0.0,177.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,18.0,0.0,0.0,148.0,0.0,526.0
Capuchius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,72.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chamberlain,0.0,211.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,214.0,0.0,229.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,101.0,214.0,0.0,0.0,134.0,250.0,0.0,214.0,134.0,0.0,0.0,0.0,0.0,313.0,61.0,0.0,0.0,669.0,38.0,0.0,29.0,0.0,0.0,0.0,312.0,29.0,11.0,218.0,0.0,0.0,669.0,606.0,0.0,0.0,0.0,392.0
