,ATTENDANTS,Aaron,Aemilius,Alarbus,Bassianus,Caius,Captain,Chiron,CountryFellow,Demetrius,GOTHS,GOTHS.0,GOTHS.0.2,GUARDS,Infant,Lavinia,Lucius,Marcus,Martius,Messenger,Mutius,Nurse,Publius,Quintus,ROMANS,ROMANS.0,SENATORS,SERVANTS,Saturninus,Sempronius,TRIBUNES,Tamora,Titus,Valentine,YoungLucius
ATTENDANTS,0.0,76.0,233.0,0.0,80.0,0.0,0.0,135.0,12.0,135.0,186.0,15.0,186.0,0.0,186.0,196.0,253.0,205.0,80.0,0.0,0.0,0.0,0.0,80.0,0.0,382.0,0.0,122.0,382.0,0.0,186.0,369.0,244.0,0.0,177.0
Aaron,76.0,0.0,29.0,60.0,305.0,0.0,266.0,660.0,0.0,660.0,179.0,15.0,179.0,117.0,313.0,311.0,590.0,305.0,388.0,0.0,254.0,125.0,0.0,388.0,266.0,1062.0,110.0,17.0,334.0,0.0,125.0,473.0,485.0,0.0,32.0
Aemilius,233.0,29.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,47.0,200.0,15.0,200.0,0.0,200.0,177.0,200.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,122.0,233.0,0.0,186.0,233.0,177.0,0.0,177.0
Alarbus,0.0,60.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,0.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0
Bassianus,80.0,305.0,0.0,0.0,0.0,0.0,124.0,341.0,0.0,341.0,0.0,0.0,0.0,116.0,0.0,379.0,290.0,305.0,357.0,0.0,124.0,0.0,0.0,357.0,187.0,499.0,173.0,0.0,358.0,0.0,173.0,432.0,290.0,0.0,0.0
Caius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,45.0,56.0,0.0,0.0,56.0,0.0,0.0,42.0,0.0,124.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,180.0,0.0,0.0,0.0,124.0,0.0,0.0,176.0,56.0,124.0
Captain,0.0,266.0,0.0,60.0,124.0,0.0,0.0,266.0,0.0,266.0,0.0,0.0,0.0,117.0,0.0,136.0,218.0,124.0,211.0,0.0,263.0,0.0,0.0,211.0,281.0,275.0,110.0,0.0,159.0,0.0,110.0,266.0,275.0,0.0,0.0
Chiron,135.0,660.0,47.0,60.0,341.0,56.0,266.0,0.0,12.0,1114.0,0.0,0.0,210.0,117.0,125.0,405.0,331.0,252.0,329.0,0.0,254.0,125.0,56.0,329.0,266.0,1114.0,110.0,17.0,393.0,0.0,110.0,750.0,571.0,56.0,17.0
CountryFellow,12.0,0.0,0.0,0.0,0.0,45.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,57.0,0.0,0.0,12.0,45.0,0.0,12.0,45.0,0.0,45.0
Demetrius,135.0,660.0,47.0,60.0,341.0,56.0,266.0,1114.0,12.0,0.0,0.0,0.0,210.0,117.0,125.0,405.0,331.0,252.0,329.0,0.0,254.0,125.0,56.0,329.0,266.0,1114.0,110.0,17.0,393.0,0.0,110.0,750.0,571.0,56.0,17.0
GOTHS,186.0,179.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,350.0,0.0,350.0,177.0,369.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,122.0,186.0,0.0,186.0,186.0,177.0,0.0,177.0
GOTHS.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,15.0,15.0,15.0,0.0,15.0
GOTHS.0.2,186.0,179.0,200.0,0.0,0.0,56.0,0.0,210.0,0.0,210.0,350.0,15.0,0.0,0.0,350.0,219.0,350.0,212.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,560.0,0.0,122.0,186.0,0.0,186.0,337.0,364.0,56.0,177.0
