,HenryVIII,Wolsey,Katherine,Cranmer,Buckingham,Norfolk,Chamberlain,Gardiner,Surveyor,Suffolk,Surrey,Chancellor,Sands,Campeius,Cromwell,Lovell,Griffith,GENTLEMEN.3,GENTLEMEN.2,GENTLEMEN.1,Anne,OldLady,Brandon,BishopOfLincoln,SERVANTS.PORTER.1,Porter,Abergavenny,Crier,Prologue,Keeper,SERVANTS.X.1,Guilford,Capuchius,Butts,Garter,Scribe,Vaux,Sergeant,LADIES.KATHERINE.0.1,Epilogue,Messenger,LADIES.KATHERINE.Patience,SECRETARIES.0.1,Usher,Denny,GENTLEMEN.X,SERVANTS.LARDER.1,Page,ElizabethI.Infant,LADIES.KATHERINE,SECRETARIES.X.1,ALDERMEN,NOBLES,LORDS,LordMayor,MASKERS,LADIES,GUARDS,SECRETARIES,ATTENDANTS,GENTLEMEN,BISHOPS,COMMONERS,SERVANTS
HenryVIII,0.0,2400.0,631.0,1459.0,0.0,2014.0,1247.0,618.0,343.0,2147.0,1070.0,531.0,177.0,1014.0,531.0,1592.0,0.0,0.0,0.0,0.0,177.0,35.0,0.0,825.0,0.0,0.0,0.0,825.0,0.0,651.0,0.0,177.0,0.0,120.0,213.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,38.0,0.0,0.0,0.0,213.0,0.0,327.0,213.0,670.0,1038.0,213.0,177.0,390.0,744.0,0.0,2211.0,177.0,825.0,0.0,828.0
Wolsey,1506.0,267.0,995.0,0.0,34.0,1528.0,1519.0,98.0,78.0,1494.0,1129.0,0.0,390.0,1046.0,816.0,1037.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,424.0,0.0,0.0,34.0,424.0,0.0,0.0,131.0,390.0,0.0,0.0,0.0,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,345.0,268.0,0.0,346.0,424.0,0.0,158.0,390.0,34.0,34.0,1461.0,390.0,424.0,0.0,390.0
Katherine,1217.0,2307.0,0.0,0.0,0.0,430.0,0.0,0.0,81.0,430.0,0.0,0.0,0.0,1877.0,0.0,430.0,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0,0.0,0.0,0.0,787.0,0.0,0.0,0.0,0.0,549.0,0.0,0.0,787.0,0.0,0.0,0.0,0.0,61.0,1071.0,0.0,787.0,0.0,67.0,0.0,0.0,0.0,1182.0,349.0,0.0,430.0,787.0,0.0,0.0,0.0,0.0,0.0,1217.0,0.0,787.0,0.0,0.0
Cranmer,717.0,0.0,0.0,0.0,0.0,935.0,403.0,403.0,0.0,935.0,403.0,403.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,532.0,0.0,532.0,532.0,0.0,532.0,639.0,0.0,0.0,0.0,0.0,0.0,553.0
Buckingham,0.0,0.0,0.0,0.0,0.0,994.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,0.0,0.0,749.0,0.0,0.0,749.0,749.0,0.0,0.0,140.0,0.0,0.0,0.0,994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,0.0,0.0,0.0,0.0,749.0,0.0
Norfolk,236.0,364.0,81.0,26.0,866.0,0.0,718.0,26.0,0.0,855.0,451.0,26.0,0.0,17.0,33.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,81.0,0.0,0.0,0.0,0.0,22.0,0.0,180.0,0.0,0.0,0.0,26.0
Chamberlain,131.0,192.0,0.0,30.0,0.0,329.0,114.0,30.0,0.0,329.0,198.0,30.0,547.0,0.0,30.0,428.0,0.0,0.0,0.0,0.0,438.0,188.0,0.0,0.0,190.0,190.0,0.0,0.0,0.0,30.0,7.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,250.0,30.0,0.0,146.0,250.0,0.0,0.0,176.0
Gardiner,99.0,15.0,0.0,390.0,0.0,390.0,390.0,0.0,0.0,390.0,390.0,390.0,0.0,15.0,390.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,390.0
Surveyor,527.0,527.0,527.0,0.0,0.0,527.0,0.0,0.0,0.0,527.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,0.0,0.0
Suffolk,91.0,179.0,0.0,51.0,0.0,687.0,651.0,51.0,0.0,0.0,544.0,51.0,0.0,25.0,51.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,51.0
Surrey,12.0,530.0,0.0,10.0,0.0,631.0,631.0,10.0,0.0,631.0,0.0,10.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,10.0
Chancellor,55.0,0.0,0.0,260.0,0.0,260.0,260.0,260.0,0.0,260.0,260.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,260.0
Sands,0.0,86.0,0.0,0.0,0.0,0.0,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,86.0,242.0,0.0,0.0,86.0
Campeius,246.0,452.0,271.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,109.0,0.0,0.0
Cromwell,0.0,229.0,0.0,134.0,0.0,186.0,186.0,134.0,0.0,186.0,186.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,134.0
Lovell,86.0,5.0,0.0,0.0,53.0,0.0,248.0,182.0,0.0,57.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,53.0,0.0,5.0,26.0,0.0,53.0,5.0
Griffith,0.0,0.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
